機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,970.6,98.538%, 
核二#2,985.0,687.7,69.817%,測試運轉 
核三#1,951.0,941.5,99.001%, 
核三#2,951.0,941.5,99.001%, 
小計,3872.0(8.513%),3541.3(12.933%),,
燃煤(Coal)
林口#1,800.0,753.4,94.175%, 
林口#2,800.0,758.0,94.750%, 
林口#3(註10),-,756.9,94.613%,新機組試俥
台中#1,550.0,522.2,94.945%, 
台中#2,550.0,526.8,95.782%, 
台中#3,550.0,507.8,92.327%, 
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,501.1,91.109%,運轉限制
台中#6,550.0,505.2,91.855%,運轉限制
台中#7,550.0,433.7,78.855%,運轉限制
台中#8,550.0,530.9,96.527%, 
台中#9,550.0,485.9,88.345%,運轉限制
台中#10,550.0,504.2,91.673%,運轉限制
興達#1,500.0,479.0,95.800%, 
興達#2,500.0,474.6,94.920%, 
興達#3,550.0,511.4,92.982%, 
興達#4,550.0,518.6,94.291%, 
大林#1,800.0,209.9,26.237%,運轉限制
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(21.986%),9743.0(35.583%),,
汽電共生(Co-Gen)
汽電共生,623.2,570.0,-, 
小計,623.2(1.370%),570.0(2.082%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,0.0,0.000%,故障
和平#2,648.6,565.3,87.164%,運轉限制
麥寮#1,600.0,372.2,62.033%,運轉限制
麥寮#2,600.0,566.8,94.467%, 
麥寮#3,600.0,570.1,95.017%, 
小計,3097.1(6.809%),2074.4(7.576%),,
燃氣(LNG)
大潭CC#1,742.7,541.4,72.896%, 
大潭CC#2,742.7,481.9,64.885%, 
大潭CC#3,724.7,624.7,86.201%, 
大潭CC#4,724.7,611.1,84.325%, 
大潭CC#5,724.7,167.3,23.085%, 
大潭CC#6,724.7,674.7,93.101%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,726.8,81.425%, 
通霄CC#3(註10),-,868.1,97.255%,新機組試俥
通霄CC#4,386.0,94.3,24.430%,測試運轉 
通霄CC#5,386.0,215.1,55.725%,電源線限制
通霄CC#6,321.2,95.4,29.701%,部分檢修
興達CC#1,445.2,218.7,49.125%, 
興達CC#2,445.2,402.7,90.456%, 
興達CC#3,445.2,271.6,61.008%, 
興達CC#4,445.2,265.0,59.525%,部分檢修
興達CC#5,445.2,253.7,56.987%, 
南部CC#1,288.8,269.7,93.386%, 
南部CC#2,288.8,233.9,80.990%, 
南部CC#3,288.8,233.1,80.713%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,139.6,27.920%,運轉限制
大林#6,550.0,163.2,29.673%, 
小計,12256.4(26.946%),7552.0(27.581%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,397.0,88.222%, 
新桃#1,600.0,0.0,0.000%,檢修
國光#1,480.0,193.5,40.312%, 
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,0.0,0.000%,檢修
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,499.5,101.939%, 
小計,4610.0(10.135%),1090.0(3.981%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,135.4,27.080%,環保限制
協和#4,500.0,0.0,0.000%,故障
小計,2000.0(4.397%),135.4(0.495%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,60.9,46.918%, 
金門塔山(註4),91.0,44.9,49.341%, 
馬祖珠山(註4),28.6,9.6,33.520%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.258%),115.4(0.421%),,
水力(Hydro)
德基#1,78.0,45.8,58.718%, 
德基#2,78.0,50.8,65.128%, 
德基#3,78.0,51.4,65.897%, 
青山#1,92.0,71.0,77.174%, 
青山#2,92.0,71.5,77.717%, 
青山#3,92.0,70.8,76.957%, 
青山#4,92.0,70.4,76.522%, 
谷關#1,54.4,51.7,94.949%, 
谷關#2,54.4,50.8,93.297%, 
谷關#3,54.4,49.9,91.644%, 
谷關#4,54.4,51.7,94.949%, 
天輪#1,22.5,21.8,96.889%, 
天輪#2,22.5,22.7,100.889%, 
天輪#3,22.5,22.1,98.222%, 
天輪#4,22.5,22.3,99.111%, 
天輪#5,105.0,105.8,100.762%, 
馬鞍#1,66.7,65.1,97.543%, 
馬鞍#2,66.7,66.0,98.891%, 
卓蘭#1,40.0,40.2,100.500%, 
卓蘭#2,40.0,39.9,99.750%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,20.0,101.523%, 
松林#1&amp;2,20.9,0.0,0.000%, 
大觀一#1,22.0,16.5,75.000%, 
大觀一#2,22.0,16.6,75.455%, 
大觀一#3,22.0,16.6,75.455%, 
大觀一#4,22.0,16.6,75.455%, 
大觀一#5,22.0,16.9,76.818%, 
鉅工#1,21.8,17.9,82.299%, 
鉅工#2,21.8,18.0,82.759%, 
水里#1,12.8,8.8,69.020%, 
立霧#1&amp;#2,32.0,15.8,49.375%, 
龍澗#1,48.6,29.8,61.317%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,47.8,78.105%, 
烏來&amp;桂山&amp;粗坑,40.5,42.4,104.691%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,44.0,80.586%, 
翡翠#1,70.0,71.6,102.286%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,44.9,99.778%, 
曾文#1,50.0,49.6,99.200%, 
義興#1,40.0,38.2,95.500%, 
名間,16.7,14.4,86.228%, 
嘉南西口、烏山頭和八田,22.5,4.0,17.805%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.598%),1642.1(5.997%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
